,t1,t2,diff
0,0:03:50.053000,0:03:50.228000,175.0
1,0:03:49.182000,0:03:49.356000,174.0
2,0:03:48.077000,0:03:48.194000,117.0
3,0:03:47.147000,0:03:47.264000,117.0
4,0:03:46.157000,0:03:46.333000,176.0
5,0:03:45.113000,0:03:45.288000,175.0
6,0:03:44.240000,0:03:44.356000,116.0
7,0:03:43.253000,0:03:43.428000,175.0
8,0:03:42.263000,0:03:42.379000,116.0
9,0:03:41.273000,0:03:41.448000,175.0
10,0:03:40.284000,0:03:40.458000,174.0
11,0:03:39.178000,0:03:39.352000,174.0
12,0:03:38.188000,0:03:38.362000,174.0
13,0:03:37.318000,0:03:37.434000,116.0
14,0:03:36.329000,0:03:36.503000,174.0
15,0:03:35.339000,0:03:35.514000,175.0
16,0:03:34.352000,0:03:34.526000,174.0
17,0:03:33.306000,0:03:33.480000,174.0
18,0:03:32.375000,0:03:32.492000,117.0
19,0:03:31.445000,0:03:31.619000,174.0
20,0:03:30.397000,0:03:30.513000,116.0
21,0:03:29.409000,0:03:29.584000,175.0
22,0:03:28.361000,0:03:28.477000,116.0
23,0:03:27.369000,0:03:27.585000,216.0
24,0:03:26.438000,0:03:26.555000,117.0
25,0:03:25.333000,0:03:25.508000,175.0
26,0:03:24.400000,0:03:24.517000,117.0
27,0:03:23.353000,0:03:23.527000,174.0
28,0:03:22.422000,0:03:22.596000,174.0
29,0:03:21.434000,0:03:21.607000,173.0
30,0:03:20.503000,0:03:20.619000,116.0
31,0:03:19.400000,0:03:19.516000,116.0
32,0:03:18.411000,0:03:18.586000,175.0
33,0:03:17.422000,0:03:17.538000,116.0
34,0:03:16.499000,0:03:16.673000,174.0
35,0:03:15.281000,0:03:15.456000,175.0
36,0:03:14.408000,0:03:14.524000,116.0
37,0:03:13.302000,0:03:13.417000,115.0
38,0:03:12.371000,0:03:12.488000,117.0
39,0:03:11.439000,0:03:11.555000,116.0
40,0:03:10.392000,0:03:10.508000,116.0
41,0:03:09.460000,0:03:09.635000,175.0
42,0:03:08.298000,0:03:08.414000,116.0
43,0:03:07.308000,0:03:07.483000,175.0
44,0:03:05.277000,0:03:05.452000,175.0
45,0:03:06.380000,0:03:06.598000,218.0
46,0:03:04.389000,0:03:04.583000,194.0
47,0:03:03.242000,0:03:03.357000,115.0
48,0:03:02.194000,0:03:02.427000,233.0
49,0:03:01.320000,0:03:01.495000,175.0
50,0:03:00.331000,0:03:00.505000,174.0
51,0:02:59.399000,0:02:59.516000,117.0
52,0:02:58.294000,0:02:58.469000,175.0
53,0:02:57.422000,0:02:57.596000,174.0
54,0:02:56.372000,0:02:56.488000,116.0
55,0:02:55.325000,0:02:55.499000,174.0
56,0:02:52.650000,0:02:52.824000,174.0
57,0:02:54.452000,0:02:54.626000,174.0
58,0:02:34.678000,0:02:34.793000,115.0
59,0:02:33.166000,0:02:33.282000,116.0
60,0:02:32.291000,0:02:32.467000,176.0
61,0:02:31.182000,0:02:31.356000,174.0
62,0:02:29.900000,0:02:30.075000,175.0
63,0:02:29.145000,0:02:29.261000,116.0
64,0:02:27.303000,0:02:27.516000,213.0
65,0:02:28.215000,0:02:28.390000,175.0
66,0:02:26.355000,0:02:26.529000,174.0
67,0:02:23.325000,0:02:23.502000,177.0
68,0:02:24.315000,0:02:24.491000,176.0
69,0:02:25.598000,0:02:25.772000,174.0
70,0:02:22.222000,0:02:22.397000,175.0
71,0:02:21.234000,0:02:21.409000,175.0
72,0:02:20.362000,0:02:20.537000,175.0
73,0:02:19.315000,0:02:19.490000,175.0
74,0:02:18.443000,0:02:18.560000,117.0
75,0:02:17.338000,0:02:17.512000,174.0
76,0:02:16.288000,0:02:16.522000,234.0
77,0:02:15.299000,0:02:15.473000,174.0
78,0:02:13.378000,0:02:13.495000,117.0
79,0:02:14.369000,0:02:14.486000,117.0
80,0:02:12.449000,0:02:12.622000,173.0
81,0:02:11.518000,0:02:11.634000,116.0
82,0:02:10.298000,0:02:10.472000,174.0
83,0:02:09.366000,0:02:09.540000,174.0
84,0:02:08.509000,0:02:08.783000,274.0
85,0:02:07.444000,0:02:07.561000,117.0
86,0:02:06.515000,0:02:06.689000,174.0
87,0:02:05.469000,0:02:05.585000,116.0
88,0:02:04.479000,0:02:04.595000,116.0
89,0:02:03.431000,0:02:03.605000,174.0
90,0:02:02.500000,0:02:02.616000,116.0
91,0:02:01.336000,0:02:01.452000,116.0
92,0:02:00.345000,0:02:00.461000,116.0
93,0:01:59.297000,0:01:59.472000,175.0
94,0:01:58.368000,0:01:58.543000,175.0
95,0:01:57.263000,0:01:57.438000,175.0
96,0:01:56.274000,0:01:56.390000,116.0
97,0:01:55.341000,0:01:55.458000,117.0
98,0:01:54.351000,0:01:54.584000,233.0
99,0:01:53.245000,0:01:53.421000,176.0
100,0:01:52.256000,0:01:52.430000,174.0
101,0:01:51.269000,0:01:51.443000,174.0
102,0:01:50.284000,0:01:50.458000,174.0
103,0:01:49.296000,0:01:49.470000,174.0
104,0:01:48.365000,0:01:48.540000,175.0
105,0:01:47.377000,0:01:47.493000,116.0
106,0:01:46.385000,0:01:46.561000,176.0
107,0:01:45.630000,0:01:45.803000,173.0
108,0:01:44.644000,0:01:44.760000,116.0
109,0:01:43.711000,0:01:43.886000,175.0
110,0:01:42.433000,0:01:42.608000,175.0
111,0:01:41.328000,0:01:41.444000,116.0
